content,label
Glazing today. Think we're gonna need a bigger kiln!! #cone11news #cone11ceramics #plates #bowls https://t.co/9HfMZSzfDF,1
@guardiannews where do v settle Cambodian refugees?,-1
"The MDA game framework can be applied outside of game design, for example Twitters retweet",0
"Soooo maybe the gym wasn't that cold...maybe it was just me? 
Currently in bed after finishing meal 2 https://t.co/ulj4wULjO4",-1
@parisba and @desplesda from @thesecretlabs talk at #yowconnected was entertaining and informative. Thanks! #yowconnected,1
Great talk by @thesecretlab at #yowconnected - theyre sharing it on Twitter if youre interested.,1
"Honestly though, why would you even want to be president?",0
A Tanzanian single origin latte to help me come to my senses. Super bright aroma coming off this one! https://t.co/ep2k16ESX6,1
Chilled latte...me and book before class @ Jamaica Blue Box Hill https://t.co/vgmVyFhE2R,0
"Sietel Gill's 3 core values at Priceline Bourke St Mall: integrity, excitement, tenacity #PBN2015",1
Your business is only as good as your least experienced Sunday casual. Sietel Gill #PBN2015,0
Antonia Syme @austapestry shares the unique challenges and opportunities https://t.co/1S8WpYT1Ei,0
We've partnered with the best brands in the business to advance your PT skills. @tptherapy https://t.co/1IR3fRNDMV,0
Awesome audience for our #GameDesign talk at #YowConnected! Thanks! https://t.co/NeC7J76mod,1
"Karma is experience, and experience creates memory, and memory creates imagination and desire, and https://t.co/OwwT6hgEkJ",0
Ran into a herd of swans this morning on my morning run. There were also baby swans but I didn't want https://t.co/DKt8MhpEIZ,-1
so much code so little time love @barefeettom tshirt #yowconnected,-1
Festival of Nation day 2 ! Be there !  @ The University of Melbourne https://t.co/paJpwePvZ6,1
"Introducing our SPRING ABUNDANCE BOWL!!! 

A delightful combo of organic tri-coloured quinoa, https://t.co/mGvB8mx3SJ",1
Banana bread pancakes  @ The Resident Cafe https://t.co/0g3ouPaAxo,1
Precision is key at Huntingdale Golf Club.  by Andrew North via cloud9aerialphoto @ Huntingdale Golf https://t.co/D09KyKQfj5,1
Amazing collaboration between @austapestry workshop and #brookandrew #craftparallels @ngvmelbourne https://t.co/NzuLdEIidn,1
Karen Hitchings from #uniquetourism explaining why YOU should stay at a #slh hotel. Thanks Karen. @ https://t.co/JSRjEW5cml,1
@Ducky_Tape what sort of lame? (Im on them soon),1
"Microsoft's Satya Nadella heralds new era of wearables, diversity and smart data  -  http://t.co/Zws3T9gK2t via @canberratimes",0
One of our favs has just walked in the door  Tom Ford aviators DAM HOT #tomford #airplane #jet https://t.co/ea326A52gU,0
