content,label
"A must read article on @fastcompany about @Apple, @Facebook, @Google, and @Amazon technology war in 2012  http://t.co/nxc7Wo4S",0
My friend @bm88 found this article on the #ios5 battery drain problem http://t.co/zMX85Fkd @apple,0
M10135 Microsoft Course. RRP 1640 + VAT. Our Price = 1148 + VAT http://t.co/vOTLSnfX #ittraining #microsoft,0
That was good but when is it coming out? What carriers? What pricepoints? #android #google,0
Good night to the #twitter world! #sleeptight,0
#Twitter FDP,0
"Seeking a Manager of IT for Immediate Hire in Sterling, VA! Send resumes to julia.snik@rht.com for consideration! #dcjobs #cisco #microsoft",0
@BrianMincey @apple the chipsets tear through battery life. Coworker has a htc thunderbolt that he gets about 3 hours of life.,-1
@AsimRang @apple @umber well so far ive seen it for apps,0
How #Apple eclipsed #Microsoft http://t.co/1fH0dFGj from @guardian,-1
Thank you @apple for making my iPad 2 feel like new again with your new iOS 5!,1
ATHEN's review of #Google Docs #accessibility shows a lot of work needs to be done. http://t.co/rad9WdSw #a11y HT @chadleaman,-1
#Microsoft shows 'touch screen' for any surface http://t.co/sNaPW5tl,0
RT @CNBC: The World's 10 Most Tweeted Moments - Link to Story   http://t.co/iKZiM8i5  #Twitter,0
Any surface touch http://t.co/ymNtCIKG #Microsoft #Technology,0
@HectorAlteto welcome to the #twitter,0
"Personal-finance #security #startup @BillGuard raises $10mn from #KhoslaVentures, Peter Thiels @FoundersFund n #Google http://t.co/UdlOQFsA",0
@teggyboy00 oh wow lmao thank no wonder why no one answered me !! addicted #twitter,0
"Gentle Ballmer meekly suggests the competition is doomed - #Microsoft is winning, winning, winning!: http://t.co/7ntP5MS1 via @thetecheye",0
#Google releases the latest version of #Android 4.0  #IceCreamSandwich http://t.co/fB7y5E1e,0
RT @dalmaer: WebGL infinite bookcase UI http://t.co/bvu1qtkT #google,0
@Rich021 Thank you my friend!  Much appreciated and keep up the great work!  I hope you clean house on #Microsoft #Rewards here! #Retail,0
Fight: Galaxy Nexus vs. Droid RAZR vs. iPhone 4S http://t.co/P3qHh63d #Android #iPhone #Google,0
Smashed yet another #iPhone screen. When are @apple gonna make the phone more durable!!! Tired of fixing it myself!!!,-1
"""Metro (design language)"" http://t.co/r7RdW1PH Microsoft took inspiration from King County Metro! #microsoft #metro #windows8 #bus",0
#Google #IceCreamSandwich Debuts as IPhone Sets Record: Tech. http://t.co/TrENUYF4,0
Hey @Apple - need more servers for Siri traffic?  I'm sure Google can help you out with that...,0
"Microsoft CEO says company got ""lucky"" when Yahoo deal fell apart #microsoft #steveballmer http://t.co/qGxn8d2l",0
@pkedrosky @apple I am just waiting for my conf email from iCloud.,0
"Ice cream sandwich, really #google?",-1
Thank god Gmail app has been redesigned under Android 4.0. Conversations automatically expanded. #Google #Android #ICS,1
@Apple Safari Reader owns the worldwide web,1
RT @GP_Jman852: Hello New Followers! Reminder: 1000 followers = a 4000 #Microsoft point #Giveaway! #Xbox360 #XBL #XBLA #MW3 #COD RETWEET!,0
"#Google, #Samsung unveil Ice Cream Sandwich-powered Galaxy Nexus http://t.co/qtiCdIvd via @CNET #Android",0
http://t.co/cBCEFILN - Many-To-Many Control for #Microsoft #LightSwitch,0
"Introducing Android 4.0, Ice Cream SandwichIntroducing Android 4.0, Ice Cream Sandwich http://t.co/L4Hqkv0c #Google #Android",0
"Check out "" @Legiondachosen1 ft. Big Hit - My Life's A Movie (snippet) - Prod. by @LegiondaChosen1"" - http://t.co/XjTCc7j7 #Google Me!!",0
Watching podcast of Steve Jobs & Bill Gates at 07 D5. Gates sucks at tech predictions! All talk #Apple #Microsoft,-1
@Motorola is the Best Android-powered company that is going against @Apple.,0
I feel all alone on #twitter. #itstolate,-1
#twitter should i upload tweetdeck for my laptop?!,0
#Microsoft #Dynamics #NAV is a cesspit. Extreme consultingware. To be avoided...,-1
Well at least the @apple store has amazing call waiting music! #need4s,1
Blog Post: Cool Tool : Microsoft Mouse Without Borders. http://t.co/uM860jFh #Tools #Utilities #microsoft,1
